Which TWO of the following best describe applying to become a permanent resident or citizen of the UK?	An important decision	A quick decision	An easy process	A commitment	A, D	Applying to become a permanent resident or citizen of the UK is an important decision and commitment. You will be agreeing to accept the responsibilities that go with permanent residence and to respect the laws, values and traditions of the UK.	../src/online/the_values_and_principles_of_the_uk.json	
Which TWO of the following are duties of a citizen in the UK?	Disrepect the law	Treat others unfairly	Look after yourself and your family	Look after the area in which you live	C, D	If you wish to be a permanent resident or citizen of the UK, you should: - respect and obey the law - respect the rights of others, including their right to their own opinions - treat others with fairness - look after yourself and your family - look after the area in which you live and the environment.	../src/online/the_values_and_principles_of_the_uk.json	
Is the statement below TRUE or FALSE? The UK offers citizens of the UK a right to a fair trial and a right to join in the election of a government.	True	False			A	When you become a permanent resident or citizen of the UK you are expected to respect the responsibilities and freedoms shared by all those living in the UK. In return, the UK offers its citizens certain freedoms and rights, including a right to a fair trial and a right to join in the election of a government.	../src/online/the_values_and_principles_of_the_uk.json	
There is no place in British society for which TWO of the following?	Intolerance	Politics	Democracy	Extremism	A, D	There is no place in British society for extremism or intolerance.	../src/online/the_values_and_principles_of_the_uk.json	
Which TWO of the following are freedoms citizens and permanent residents of the UK should respect?	Freedom of speech	Half-day off work on Friday	Freedom from unfair discrimination	Free heating during winter	A, C	There are responsibilities and freedoms which are shared by all those living in the UK and which all residents are expected to respect. The freedoms are: freedom of belief and religion; freedom of speech; freedom from unfair discrimination; a right to a fair trial; a right to join in the election of a government.	../src/online/the_values_and_principles_of_the_uk.json	
To apply to become a permanent resident or citizen of the UK, you will need to be able to do which TWO of the following?	Speak and read English	Speak Welsh	Have a good understanding of life in the UK	Speak more than one language	A, C	To apply to become a permanent resident or citizen of the UK, you will need to speak and read English, and have a good understanding of life in the UK.	../src/online/the_values_and_principles_of_the_uk.json	
Which of the following statements is correct?	The British welcome anyone into their society.	The British welcome those seeking to make a positive contribution to their society.			B	The British welcome those seeking to make a positive contribution to our society.	../src/online/the_values_and_principles_of_the_uk.json	
What do you accept and agree to respect when you become a permanent resident of the UK?	Catholic beliefs and values	The right to be tried for crimes in your country of origin	To respect the laws and traditions of the UK	Protestant beliefs and values	C	Applying to become a permanent resident or citizen of the UK is an important decision and commitment. You will be agreeing to accept the responsibilities that go with permanent residence and to respect the laws, values and traditions of the UK.	../src/online/the_values_and_principles_of_the_uk.json	
Is the statement below TRUE or FALSE? Britain is a modern, thriving society with a short and relatively recent history.	True	False			B	Britain is a fantastic place to live: a modern, thriving society with a long and illustrious history.	../src/online/the_values_and_principles_of_the_uk.json	
Which of the following statements is correct?	Passing the Life in the UK test is part of demonstrating that you are ready to become a permanent migrant to the UK.	Passing the Life in the UK test fully demonstrates that you are ready to become a permanent migrant to the UK.			A	Passing the Life in the UK test is only part of demonstrating that you are ready to become a permanent migrant to the UK. You must also be able to speak and read English to a set level.	../src/online/the_values_and_principles_of_the_uk.json	
Is the statement below TRUE or FALSE? Britain is proud of its record of welcoming migrants, who add to the diversity and dynamism of our national life.	True	False			A	The British are proud of our record of welcoming new migrants who will add to the diversity and dynamism of our national life.	../src/online/the_values_and_principles_of_the_uk.json	
Which of the following languages can the Life in the UK test be taken in?	German	Cornish	French	Welsh	D	The Life in the UK test is usually taken in English, although special arrangements can be made if you wish to take it in Welsh or Scottish Gaelic. The Life in the UK test cannot be taken in any language other than these three.	../src/online/the_values_and_principles_of_the_uk.json	
What are those elected to the Scottish Parliament known as?	MPs	Lords	AMs	MSPs	D	There are 129 members of the Scottish Parliament (MSPs), elected by a form of proportional representation.	../src/online/random.json	
Which TWO things is Sake Dean Mahomet most famous for?	Opening the first curry house in Britain	Resisting British colonialism in Bengal	He was a general in the Bengal army	Introducing shampooing (Indian head massage) to Britain	A, D	Mahomet was born in 1759 and grew up in the Bengal region of India. In 1810 he opened the Hindoostane Coffee House in George Street, London. It was the first curry house to open in Britain. Mahomet and his wife also introduced 'shampooing', the Indian art of head massage, to Britain.	../src/online/random.json	
Who wrote the poem The Tyger?	Jane Austen	William Blake	William Shakespeare	Emmeline Pankhurst	B	'Tyger! Tyger! Burning bright In the forests of the night, What immortal hand or eye Could frame thy fearful symmetry?' (William Blake, 1757-1827 -- The Tyger)	../src/online/random.json	
What is another name used for the Church of England elsewhere in the world?	Anglican Church	Mormon Church	Zen Church	Adventist Church	A	The official church of the state is the Church of England (called the Anglican Church in other countries and the Episcopal Church in Scotland and the United States).	../src/online/random.json	
Who was Sir Edwin Lutyens?	A British architect	A British composer	A British swimmer	A British scientist	A	Sir Edwin Lutyens was a British architect who had an influence throughout the British Empire.	../src/online/random.json	
Which of the following statements is correct?	The attack on Normandy by Allied forces is often called D-Day.	D-Day was an Allied operation that attacked German forces in France by advancing through Spain.			A	German losses in the Soviet Union, combined with the support of the Americans, meant that the Allies were eventually strong enough to attack Hitler's forces in Western Europe. On 6 June 1944, allied forces landed in Normandy (this event is often referred to as 'D-Day').	../src/online/random.json	
Official reports of parliamentary proceedings are published in which of the following?	Juilliard	Hansard	The Telegraph	The Sunday Times	B	Proceedings in Parliament are broadcast on television and published in official reports called Hansard.	../src/online/random.json	
Who appoints MPs to the cabinet?	The Archbishop of Canterbury	The Queen	The Prime Minister	UK residents in a General Election	C	The Prime Minister appoints about 20 senior MPs to become ministers in charge of departments. This group of ministers is known as the cabinet.	../src/online/random.json	
Who wrote Charlie and the Chocolate Factory and George's Marvellous Medicine?	Thomas Hardy	Kingsley Amis	Roald Dahl	Sir Arthur Conan Doyle	C	Roald Dahl is most well known for his children's books, although he also wrote for adults. His best-known works include Charlie and the Chocolate Factory and George's Marvellous Medicine. Several of his books have been made into films.	../src/online/random.json	
Where did the Vikings form their first communities in Britain?	Wales and Scotland	Eastern England and Scotland	Northern Ireland and Wales	South-west England and Wales	B	The Vikings came from Denmark, Norway and Sweden. They first visited Britain in AD 789 to raid coastal towns and take away goods and slaves. Then, they began to stay and form their own communities in the east of England and Scotland.	../src/online/random.json	
What were the Crusades?	A fleet of ships sent from Spain to attack England	The dissolution of the monasteries by Henry VIII	The civil war between the Royalists and the Parliamentarians	The fight for control of the Holy Land by European Christians	D	During the Middle Ages, the English kings fought a number of wars abroad. Many knights took part in the Crusades, in which European Christians fought for control of the Holy Land.	../src/online/random.json	
Charles I believed in, and tried to rule in line with, what principle?	Democracy	Communism	Religious virtue	The Divine Right of Kings	D	James I and his son Charles I were less skilled politically than Elizabeth I. Both believed in the 'Divine Right of Kings': the idea that the king was directly appointed by God to rule.	../src/online/random.json	
England has a devolved government.	True	False			B	There are devolved governments in Scotland, Wales and Northern Ireland that have the power to legislate on certain issues.	../src/online/random.json	
Which of the armed forces fought in the Battle of Britain?	Royal Air Force	Royal Navy	The Army	Royal Marines	A	The Battle of Britain', was an aerial battle fought in the summer of 1940 by the Royal Air Force.	../src/online/random.json	
The Black Death caused the deaths of one-third of the population of England.	True	False			A	In 1348, a disease, probably a form of plague, came to Britain. This was known as the Black Death. One third of the population of England died.	../src/online/random.json	
Who was the longest-serving British Prime Minister of the 20th century?	Boris Johnson	Winston Churchill	David Cameron	Margaret Thatcher	D	Margaret Thatcher was the longest-serving Prime Minister of the 20th century, remaining in office until 1990.	../src/online/random.json	
Which town or city is famous for its celebration of the Hindu and Sikh festival of Diwali?	Birmingham	Slough	Leicester	Plymouth	C	There is a famous celebration of Diwali in Leicester.	../src/online/random.json	
Which TWO of the following former colonies were granted independence in 1947?	Pakistan	Sierra Leone	Jamaica	Ceylon (now Sri Lanka)	A, D	In 1947, independence was granted to nine countries, including India, Pakistan and Ceylon (now Sri Lanka).	../src/online/random.json	
The right for every adult male and female to vote is usually known as what?	Universal balloting	Universal democracy	Universal voting rights	Universal suffrage	D	Universal suffrage is the right of every adult, male or female, to vote in parliamentary elections.	../src/online/random.json	
The Cenotaph in Trafalgar Square is a monument to Admiral Nelson.	True	False			B	Britain's navy fought against combined French and Spanish fleets, winning the Battle of Trafalgar in 1805. Admiral Nelson was in charge of the British fleet at Trafalgar and was killed in the battle. Nelson's Column in Trafalgar Square, London, is a monument to him.	../src/online/random.json	
During the early 1970s, Britain admitted 28,000 people of Indian origin who had been forced to leave Uganda.	True	False			A	During the early 1970s, Britain admitted 28,000 people of Indian origin who had been forced to leave Uganda.	../src/online/random.json	
In 1805, Britain's navy fought combined fleets from which nations to win the Battle of Trafalgar? 	France and Spain	Spain and Italy	France and Italy	France and the Netherlands	A	Britain's navy fought against combined French and Spanish fleets, winning the Battle of Trafalgar in 1805.	../src/online/random.json	
When England became a republic, after Charles I lost the English Civil War, it no longer had what?	A parliament	A national anthem	A monarch	A Prime Minister	C	By 1646, it was clear that Parliament had won the war. Charles was held prisoner by the parliamentary army. He was still unwilling to reach any agreement with Parliament and in 1649 he was executed. England declared itself a republic, called the Commonwealth. It no longer had a monarch.	../src/online/random.json	
Which of the following statements is correct?	The UK has a constitutional monarchy, which means that the king or queen appoints the government, as chosen in a democratic election.	The UK has a constitutional monarchy, which means that the king or queen alone chooses the government.			A	The UK has a constitutional monarchy. This means that the king or queen does not rule the country but appoints the government, which the people have chosen in a democratic election.	../src/online/random.json	
Sake Dean Mahomet opened which establishment in George Street, London in 1810?	Hindoostane Coffee House	Pakistan Curry House	Mahomet Coffee House	Mahomet Shampoo Parlour	A	Mahomet was born in 1759 and grew up in the Bengal region of India. In 1810 he opened the Hindoostane Coffee House in George Street, London.	../src/online/random.json	
The UK is a parliamentary democracy.	True	False			A	The system of government in the UK is a parliamentary democracy.	../src/online/random.json	
Which of the following statements is correct?	Many of the Viking invaders stayed in Britain, in an area known as the Danelaw.	Many of the Viking invaders stayed in Britain, in an area known as Deptford.			A	Many of the Viking invaders stayed in Britain -- especially in the east and north of England, in an area known as the Danelaw (many places names there, such as Grimsby and Scunthorpe, come from the Viking languages). The Viking settlers mixed with local communities and some converted to Christianity.	../src/online/random.json	
All MPs represent one of the main political parties.	True	False			B	There are a few MPs who do not represent any of the main political parties. They are called independents and usually represent an issue important to their constituency.	../src/online/random.json	
Who did John Major succeed as Prime Minister?	Tony Blair	Clement Attlee	Sir Robert Walpole	Margaret Thatcher	D	John Major was Prime Minister after Margaret Thatcher.	../src/online/random.json	
Who could not get Parliament to agree to their religious and foreign policy views and tried to rule without Parliament?	Charles I	Elizabeth I	Bloody Mary	Henry VIII	A	When Charles I inherited the thrones of England, Wales, Ireland and Scotland, he tried to rule in line with this principle. When he could not get Parliament to agree with his religious and foreign policies, he tried to rule without Parliament at all.	../src/online/random.json	
The first Union Flag was created in 1606.	True	False			A	There is also an official Welsh flag, which shows a Welsh dragon. The Welsh dragon does not appear on the Union Flag because, when the first Union Flag was created in 1606 from the flags of Scotland and England, the Principality of Wales was already united with England.	../src/online/random.json	
Which of the following is paid for by National Insurance Contributions?	State retirement pensions	The armed forces	Parliamentary expenses	The Department for Work and Pensions	A	The money raised from National Insurance Contributions is used to pay for state benefits and services such as the state retirement pension and the National Health Service (NHS).	../src/online/random.json	
Queen Victoria's reign ended in 1952, and she was succeeded by Elizabeth II.	True	False			B	In 1837, Queen Victoria became queen of the UK at the age of 18. She reigned until 1901.	../src/online/random.json	
What currency is used in the UK?	Euro	Dollar	Pound sterling	Ruble	C	The currency in the UK is the pound sterling.	../src/online/random.json	
The BBC began the world's first regular television service in 1936.	True	False			A	The BBC started radio broadcasts in 1922 and began the world's first regular television service in 1936.	../src/online/random.json	
